split,domain,kind,anomaly_type,image_path,mask_path,source_path,mask_kind,mask_scale,augmentation
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__006.png,train/masks/mms_rpi__train__synthetic__IMG_0020__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,blob,2,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__007.png,train/masks/mms_rpi__train__synthetic__IMG_0020__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,blob,4,zoom-none+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0101__000.png,train/masks/mms_rpi__train__clean__IMG_0101__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,zero,,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__000.png,train/masks/mms_rpi__train__synthetic__IMG_0101__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,blob,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__001.png,train/masks/mms_rpi__train__synthetic__IMG_0101__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,scratch,2,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__002.png,train/masks/mms_rpi__train__synthetic__IMG_0101__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,scratch_cluster,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__003.png,train/masks/mms_rpi__train__synthetic__IMG_0101__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,scratch,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__004.png,train/masks/mms_rpi__train__synthetic__IMG_0101__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,scratch_cluster,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__005.png,train/masks/mms_rpi__train__synthetic__IMG_0101__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,scratch_cluster,1,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__006.png,train/masks/mms_rpi__train__synthetic__IMG_0101__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,scratch_cluster,2,zoom-out-0.82+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0101__007.png,train/masks/mms_rpi__train__synthetic__IMG_0101__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0101.png,blob,5,zoom-none+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0010__000.png,train/masks/mms_rpi__train__clean__IMG_0010__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,zero,,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__000.png,train/masks/mms_rpi__train__synthetic__IMG_0010__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,scratch,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__001.png,train/masks/mms_rpi__train__synthetic__IMG_0010__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,scratch_cluster,2,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__002.png,train/masks/mms_rpi__train__synthetic__IMG_0010__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,blob,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__003.png,train/masks/mms_rpi__train__synthetic__IMG_0010__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,scratch_cluster,2,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__004.png,train/masks/mms_rpi__train__synthetic__IMG_0010__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,scratch_cluster,5,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__005.png,train/masks/mms_rpi__train__synthetic__IMG_0010__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,scratch,1,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__006.png,train/masks/mms_rpi__train__synthetic__IMG_0010__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,blob,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0010__007.png,train/masks/mms_rpi__train__synthetic__IMG_0010__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0010.png,scratch,5,zoom-out-0.87+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0175__000.png,train/masks/mms_rpi__train__clean__IMG_0175__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,zero,,zoom-in-1.08+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__000.png,train/masks/mms_rpi__train__synthetic__IMG_0175__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,blob,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__001.png,train/masks/mms_rpi__train__synthetic__IMG_0175__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,blob,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__002.png,train/masks/mms_rpi__train__synthetic__IMG_0175__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,blob,2,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__003.png,train/masks/mms_rpi__train__synthetic__IMG_0175__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,scratch,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__004.png,train/masks/mms_rpi__train__synthetic__IMG_0175__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,blob,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__005.png,train/masks/mms_rpi__train__synthetic__IMG_0175__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,blob,2,zoom-in-1.19+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__006.png,train/masks/mms_rpi__train__synthetic__IMG_0175__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,blob,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0175__007.png,train/masks/mms_rpi__train__synthetic__IMG_0175__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0175.png,scratch,2,zoom-none+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__RPI_007__000.png,train/masks/mms_rpi__train__clean__RPI_007__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,zero,,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__000.png,train/masks/mms_rpi__train__synthetic__RPI_007__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,scratch,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__001.png,train/masks/mms_rpi__train__synthetic__RPI_007__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,scratch,2,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__002.png,train/masks/mms_rpi__train__synthetic__RPI_007__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,scratch_cluster,3,zoom-out-0.88+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__003.png,train/masks/mms_rpi__train__synthetic__RPI_007__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,blob,1,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__004.png,train/masks/mms_rpi__train__synthetic__RPI_007__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,blob,1,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__005.png,train/masks/mms_rpi__train__synthetic__RPI_007__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,blob,3,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__006.png,train/masks/mms_rpi__train__synthetic__RPI_007__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,scratch,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_007__007.png,train/masks/mms_rpi__train__synthetic__RPI_007__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_007.png,scratch,4,zoom-none+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0191__000.png,train/masks/mms_rpi__train__clean__IMG_0191__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,zero,,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__000.png,train/masks/mms_rpi__train__synthetic__IMG_0191__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,scratch,1,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__001.png,train/masks/mms_rpi__train__synthetic__IMG_0191__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,blob,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__002.png,train/masks/mms_rpi__train__synthetic__IMG_0191__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,scratch_cluster,4,zoom-out-0.82+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__003.png,train/masks/mms_rpi__train__synthetic__IMG_0191__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,scratch,3,zoom-in-1.16+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__004.png,train/masks/mms_rpi__train__synthetic__IMG_0191__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,scratch,2,zoom-in-1.11+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__005.png,train/masks/mms_rpi__train__synthetic__IMG_0191__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,blob,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__006.png,train/masks/mms_rpi__train__synthetic__IMG_0191__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,scratch,3,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0191__007.png,train/masks/mms_rpi__train__synthetic__IMG_0191__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0191.png,scratch_cluster,3,zoom-none+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0190__000.png,train/masks/mms_rpi__train__clean__IMG_0190__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,zero,,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__000.png,train/masks/mms_rpi__train__synthetic__IMG_0190__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,scratch,1,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__001.png,train/masks/mms_rpi__train__synthetic__IMG_0190__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,blob,2,zoom-in-1.22+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__002.png,train/masks/mms_rpi__train__synthetic__IMG_0190__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,scratch,5,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__003.png,train/masks/mms_rpi__train__synthetic__IMG_0190__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,scratch_cluster,1,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__004.png,train/masks/mms_rpi__train__synthetic__IMG_0190__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,scratch,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__005.png,train/masks/mms_rpi__train__synthetic__IMG_0190__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,scratch_cluster,1,zoom-in-1.18+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__006.png,train/masks/mms_rpi__train__synthetic__IMG_0190__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,scratch,4,zoom-out-0.91+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0190__007.png,train/masks/mms_rpi__train__synthetic__IMG_0190__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0190.png,scratch,1,zoom-none+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0160__000.png,train/masks/mms_rpi__train__clean__IMG_0160__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,zero,,zoom-out-0.80+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__000.png,train/masks/mms_rpi__train__synthetic__IMG_0160__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,scratch,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__001.png,train/masks/mms_rpi__train__synthetic__IMG_0160__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,blob,1,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__002.png,train/masks/mms_rpi__train__synthetic__IMG_0160__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,scratch,4,zoom-in-1.21+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__003.png,train/masks/mms_rpi__train__synthetic__IMG_0160__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,scratch_cluster,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__004.png,train/masks/mms_rpi__train__synthetic__IMG_0160__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,scratch_cluster,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__005.png,train/masks/mms_rpi__train__synthetic__IMG_0160__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,blob,3,zoom-out-0.83+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__006.png,train/masks/mms_rpi__train__synthetic__IMG_0160__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,scratch,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0160__007.png,train/masks/mms_rpi__train__synthetic__IMG_0160__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0160.png,blob,4,zoom-none+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__RPI_020__000.png,train/masks/mms_rpi__train__clean__RPI_020__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_020.png,zero,,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_020__000.png,train/masks/mms_rpi__train__synthetic__RPI_020__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_020.png,blob,2,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_020__001.png,train/masks/mms_rpi__train__synthetic__RPI_020__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_020.png,blob,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_020__002.png,train/masks/mms_rpi__train__synthetic__RPI_020__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_020.png,blob,2,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_020__003.png,train/masks/mms_rpi__train__synthetic__RPI_020__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_020.png,scratch,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__RPI_020__004.png,train/masks/mms_rpi__train__synthetic__RPI_020__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/RPI_020.png,scratch_cluster,1,zoom-none+bg-none
